Player unique ID,Player nickname,Player dani rank,Player quantitative skill,Player ceiling skill,Player peak skill,Player contribution to model training,Player diligence rate,Player IR sources
182971,梦叶,★★/-,4.050529474337215,4.098598055524441,4.050529474337215,0.014734979385248087,0.04211917752627041,lr2
3906,コモド兄弟,(^^)/★★,3.998382704077906,3.7595936814752196,3.998382704077906,0.03578425594450694,0.04419841681275826,lr2
105776,Darkstar,-/-,3.8939406297623647,4.686755208718794,3.8939406297623647,0.11230609036756463,0.3255350385912353,lr2
86397,blurtic,-/-,3.8556460820374325,3.890171799555324,3.8556460820374325,0.020469436071691,0.05988552158556511,lr2
144372,BMS KING,(^^)/-,3.822024381598351,3.6048720450534004,4.930450675593855,0.010313127488411792,0.02065266559939021,lr2
171017,laiko,★05/-,3.7766749340643164,3.504970906368725,3.7766749340643164,0.01724905779973225,0.03337509194526516,lr2
162499,[ misa ],(^^)/-,3.763426979091857,4.006886246991938,4.930450675593855,0.007719763307424702,0.01051938565033546,lr2
104830,live play,-/-,3.7609213351451314,3.746250961872328,3.7609213351451314,0.010098189889366057,0.029843900032621738,lr2
943,rainlily,,3.759428868000711,4.0748403937673565,4.930450675593855,0.006951083368458687,0.009492548713566166,"lr2,tachi"
163757,安川魔剤王,(^^)/-,3.7141054936797557,3.6347474695181208,3.7141054936797557,0.0273014196489086,0.03999686077451571,lr2
172725,ベラジョン,-/-,3.6717177367641214,3.404009643132033,4.930450675593855,0.0039821422599395475,0.009963318830554237,lr2
120831,qwea,(^^)/-,3.666799736120547,3.559583260769476,4.793294091146889,0.009805768595824002,0.02124102554355341,lr2
182595,katherine,(^^)/-,3.660685014361092,3.6084993329787873,3.660685014361092,0.007620914782713526,0.01956760937532801,lr2
150031,tyrcs,★★/-,3.5706714683895373,2.9960056256851972,4.930450675593855,0.006461945074253503,0.011459307031720753,lr2
87054,SahikA,★★/-,3.5451761750965542,3.809288559016838,4.70686604352903,0.023561026903881732,0.027990781791968802,lr2
173444,dksltq,-/-,3.469183993155993,4.049303254048183,3.469183993155993,0.08750222536187359,0.2374559725966687,lr2
178682,モンスタ,-/-,3.4640965549172136,4.103288613803839,4.930450675593855,0.003204921242014845,0.00464024358912771,lr2
79434,ｶｵｽﾊﾞﾝﾊﾞﾝ,★★/-,3.455294528302097,3.7496943817347534,4.74843365749953,0.025479764253768866,0.027897144635074922,lr2
8dcb83c5-7b4c-45a7-83ef-f55c018b3128,bmspractice,,3.451722634208803,3.444867916568945,3.451722634208803,0.028245156966354323,0.07521502790347465,minir
157836,環,(^^)/-,3.4449167722816836,3.8498214309496737,4.775891063305369,0.01070520967328918,0.014250435648966116,lr2
183311,katherine,(^^)/-,3.4223476538090214,3.207111462543813,4.648697099516726,0.002214556686339209,0.005716682704992425,lr2
39fcf843-3931-4605-a729-2f3f61d0970b,垢伴次郎.,,3.4061788640646595,3.1616352847165903,4.930450675593855,0.017690279138997428,0.024126703848473468,minir
4310,珊瑚宮心海,(^^)/★01,3.3871830104338145,3.9014592146233165,4.619836229399272,0.026907147431521894,0.031655435782742325,lr2
58895f81-9b79-4587-a123-cf1780a608ec,ムラマ,,3.384388430983431,3.221451742543704,4.861333934214071,0.008142479258856564,0.014851057197028672,minir
69040,ｴﾇｵｷｻｲﾄﾞ,(^^)/★04,3.380505477968225,3.864075915233557,4.587925870196395,0.00691001672405374,0.009783896148365145,lr2
181843,魔女,-/-,3.3735324133078572,3.301752022142827,3.3735324133078572,0.010377753217841144,0.029664271572967377,minir
121156,Altcia,-/-,3.370264105699456,4.087373676915643,3.370264105699456,0.12793417298641183,0.360276101455738,lr2
107230,,-/-,3.350443032164273,3.3459485939717957,3.350443032164273,0.007440461434061581,0.021324966114400323,lr2
50442,,-/-,3.347774222942243,3.22800151961334,4.635349597053901,0.01585650834006629,0.024664174683614766,lr2
183010,タフガイ,(^^)/-,3.3296150053586855,3.5203054223657455,4.592085469943562,0.002596423343332945,0.005505769456894647,lr2
13794,切絵ちゃん,(^^)/-,3.3213709720927667,3.4638720800884384,4.466240758012231,0.018159306266583075,0.025997932789034256,lr2
185062,sklerotica,-/-,3.3152725610221734,3.5057147199916283,4.556401365899732,0.0020432649400862757,0.0053036927709675516,lr2
185464,トクメイ君,(^^)/-,3.306058030103673,3.3447861326459973,4.745213398351123,0.018945082455551394,0.02196977613198855,lr2
4314,ξ青龍ξ,(^^)/-,3.2904321918396486,3.2193758223505227,4.4244649101513085,0.02570386406200679,0.03453257024797791,lr2
50,tobycool,,3.288390002594998,2.454075132504787,4.930450675593855,0.020891606464232135,0.02388418461427021,tachi
169142,光のﾏｷｼｺ,-/-,3.268615207179248,3.1270203526746414,4.332063085615727,0.0045209750963626635,0.012119000033075466,lr2
36488,DNBD,(^^)/-,3.2643828925639076,3.3438582053669186,4.482693561724869,0.015189183860982952,0.022828226241327205,lr2
143120,小倉ノルト,★★/★04,3.2494153032603275,3.6759583755387513,4.679239362615768,0.01315002315551675,0.017588770403412692,lr2
109350,NESS,★★/-,3.2100010077522985,3.5286592222598547,4.417402203965737,0.02043711893736683,0.02257007003106081,lr2
183533,けろ兄,(^^)/-,3.203687816759708,3.222100890212258,4.3574375926227455,0.0048627405074237314,0.012675968215960355,lr2
65624,(^ω^)/,★★/☆07,3.201663798792485,3.0167846787741674,4.749139629706539,0.030580932413840464,0.03523387363754464,lr2
39,nyannurs,,3.198294617902157,3.9205780012549534,4.762287324122465,0.0118703223660173,0.012511230682884702,tachi
155941,りょが,★★/-,3.184677635920377,3.7164675616049503,4.455968713232326,0.0030148476827380945,0.004612709179947939,lr2
121666,百花爛漫,★★/-,3.1795195362795976,3.086770813179876,4.323657836266717,0.00818565750473334,0.016430348092128698,lr2
32571669-8028-4f74-b137-543bcb7810c9,ちひろ,,3.1630323754878735,3.159382662628388,3.1630323754878735,0.11048614366522969,0.29280954128195325,minir
016b0d5c-a9f4-4b00-b084-50b2e83688f2,魔女,,3.15155795786812,3.2277617693451477,4.5955901170139875,0.004521476321933087,0.008859328692008143,minir
185736,aicat3,★★/-,3.150997294290697,2.518335114060238,4.427601970788817,0.0048938989847625465,0.009864671080000668,lr2
51433,cr1sp,★★/-,3.1497037015657097,3.5170933387347825,4.367281260638022,0.008743198725103209,0.01258625283875323,lr2
640b1435-6baa-48f3-8016-3deee3aeebc2,3SuiKa,,3.1457337716507268,3.4420031644386047,4.352659253516741,0.0035669789729673206,0.007840215127387778,minir
111388,thom,★★/-,3.132414373843785,3.4540579522269,4.403784389338477,0.004605760092720746,0.007808715651911698,lr2
172133,CBYN,-/-,3.1278069351221145,3.2908326768923724,3.1278069351221145,0.17177747391666498,0.3053792028304412,lr2
186999,毛利S-RAN,(^^)/-,3.126537908255715,3.6847048417548205,4.3889248484512615,0.0041471916508107895,0.005685878856831734,lr2
185161,dressurf,-/-,3.124188381581604,3.7723066014691473,4.930450675593855,0.002097716613340897,0.003857594496145471,lr2
112180,はっすー,★★/-,3.1182105611692306,3.045979768013665,4.465103753479653,0.022635042410213992,0.032267526771316994,lr2
69073,Skalim,★★/☆06,3.10230618463628,3.3712153697685343,4.440938618269031,0.013916166386267657,0.017680176886161882,"lr2,tachi"
21634,ABCD♪,-/-,3.097521805914322,3.2898527866272245,4.498403787070923,0.009906894593852392,0.017067134569272262,lr2
4bffcd3b-d37f-44aa-9fa1-159c49a9f7c6,kuromaru829,,3.0847840853488835,3.079280331246877,4.471727101671016,0.004685563144601582,0.009208558570384407,minir
65458,017567,-/-,3.08290688952971,2.9744509242615944,4.375207360057923,0.012363058819227791,0.02229596223104029,lr2
133465,bibi,-/-,3.077027132962944,3.102529855705279,3.077027132962944,0.011303772888195236,0.03340684536166279,lr2
75314,MEGWINTV,★★/-,3.068936887729279,3.363251541069665,4.259847529841848,0.011706468289976233,0.015212971580066983,lr2
