Player unique ID,Player nickname,Player dani rank,Player quantitative skill,Player ceiling skill,Player peak skill,Player contribution to model training,Player diligence rate,Player IR sources
9829,ereter,★★/(^^),4.157618553260863,4.049388621061681,4.157618553260863,0.024772596239434393,0.02998703987893972,lr2
34792,fru1t,★★/(^^),3.901614243045958,3.7988448493992033,3.901614243045958,0.027773533129953648,0.032386343742057844,lr2
70821,RAY,★★/★★,3.409207058526172,3.4162571862393856,4.46556054012434,0.021977015508402788,0.026537058408916004,lr2
120465,串のこたに,-/-,3.326672154788733,3.5181074195480417,4.7442384978938685,0.005286285714027002,0.013213890673187905,lr2
f137c640-caaa-4d4f-90b6-d9071d9522d4,P.,,3.233647402165664,2.6699854186518706,3.233647402165664,0.01647808726576163,0.023072911939141728,minir
137342,打鍵老人卍,★★/★★,3.2089469651311657,3.5467563466703993,4.5247135514592,0.023837816066139713,0.024626912075142594,lr2
110245,百足,-/★★,3.1390201135660507,3.0824785331439974,4.373948103063534,0.027681104062574836,0.03633908301990908,lr2
15335,P.ACiD,★★/★★,3.052783114120805,3.3449662064050383,4.311521900454706,0.014685155538564885,0.01744456638679859,lr2
162692,fusei3,-/★★,2.9505075462956802,3.059257355788622,4.250694358646648,0.007154560373305222,0.013033929443178766,lr2
140929,SAIRY,★08/★★,2.85709039393103,3.127234220910601,4.0640114718118685,0.01538706383602383,0.019042037009403403,lr2
40307,HAL,-/★★,2.8046951728456473,3.2798543151079342,4.025461985691032,0.02708600634344921,0.02708600634344921,lr2
46010,hiro321go,★07/★★,2.714595491401225,2.8340244920397457,4.1315492476678966,0.009529972907852534,0.013636329635392849,lr2
127888,ちの,★★/★★,2.6160652369658632,2.569306686885266,4.3360227597230185,0.023960882640231575,0.024580079160091715,lr2
28987,佳奈多,★★/★★,2.608907198890875,2.825323851195161,3.921226511276017,0.014119831379210336,0.017129335446442268,lr2
165207,easyoi,-/-,2.592188021114156,2.5157450166956035,2.592188021114156,0.009225313363501585,0.023835568386014926,lr2
72918,LetsOTL,★10/★10,2.572163031920273,2.785533723577064,3.8606698199693197,0.015703427157305,0.018512260650674246,lr2
49857,R3CP_,★10/★★,2.5270822506516946,2.633911456547075,3.9652203398204375,0.015032595135668016,0.01832299792999726,lr2
143853,CORVUS,-/★★,2.521476332627772,2.675937211637987,3.914385476810657,0.006448650059259406,0.010003423995765582,lr2
124695,nnnyaaaann,★03/★★,2.5192610699851214,2.8642139550468126,3.8263176803635384,0.01071143654417073,0.013820657801521358,lr2
31796,りず,-/-,2.4552737014857167,2.1355055004017496,4.140844621526863,0.014314753076269794,0.02105872408037568,lr2
52360,ya_ti_n,★★/★★,2.4362660548222763,2.432874237134268,3.822155623908071,0.02092167754929162,0.022659008605972208,lr2
53393,IIDX16,★10/★★,2.4339877678968587,2.367550507011225,3.7738887932433647,0.013847022588897922,0.01781417150264614,lr2
75554,A.XIS,-/★★,2.404068693523893,2.616175472259971,3.845101019228842,0.02108283489182862,0.023107535690446938,lr2
70829,RESONA,-/★★,2.3799456942005808,2.808751492090684,3.790692668945014,0.003728392990807547,0.005721562941086926,"lr2,minir"
148400,movement,★★/★10,2.3220370616676846,2.8875275198458095,3.8792322633061005,0.007770371290759781,0.00952269876562554,lr2
