Song Title,Song MD5 hash,Song difficulty,Song-wise discrimination,Song-wise EASY-clear difficulty,Song-wise HARD-clear difficulty
Quad Queens [Monsther+],75fb6ed3bddf7f05320717fe5332e60d,sl7,2.4334214747270115,-1.1297613924965197,-0.003042719515565425
Quad Queens [EX],7650da93cccf8ff05361f602b0f7b189,st2,4.947481074242654,1.219155511957698,1.7822763834981203
Quad Queens [ANOTHER],bcf58042dd33f7ae0a17466f1fdc7313,★12,4.128403447130512,-0.14567458761561217,0.26080737876990867
Quad Queens -Astral Axis-,bf1e76aa6268151547ab31cfcfccb4e0,sl12,2.881605444367898,-0.1107104281319074,0.8547051554839749
QSHELL －拒色のシェルル－ [ZOI],7991c56502a1d21d776a1c14e247a6e9,sl5,2.796018342881731,-0.4998484463423302,-0.006259489495393365
QSHELL -拒色のシェルル- [Hexagon],e2165305b700604467c33cad3e489f71,st1,3.7652185616687,0.5514988786750312,1.4943115915787186
QSHELL -拒色のシェルル- [Geraeusch],51d6045371df6dd037c2ff3d9947f0c9,st7,4.40207466866903,2.2028194552253497,3.0369468008719935
QSHELL (QPython),481f353fa2626391130030ee623f3a7b,st2,4.751801048098382,1.2786535732693232,1.7152447401576076
Q.E.D. [scarlet],88684968568f1499a9f0cd68098a6935,sl11,3.06238646630134,0.1971539391639984,0.7206845505603513
Q [SAETHER],22e753d47b54f78e2cdd1473276f5d4b,★12,3.300737471420073,-0.5476665639705701,0.23724980254153907
Q -Qverjoy-,c0b85c497ce35b99c78b204ac2d65d96,★★5,3.1146012581339817,3.2041924237693578,4.012245984654067
Pusha Plucka!! -SWAGGER-,32eacd8032ca8155a1cc80e39753aabb,sl4,2.3313001453690614,-1.6024389216742583,-0.6012439616095736
Pursuit Of Outer Space [Meteor],c4f24d1d43310a0039ecafea845efea6,st5,5.459456984029271,1.9043534207252337,2.718170594426077
Pursuit Of Outer Space MX,945e88bd2a886308bfcb5786d7551fe2,★12,3.392926710901124,-0.6509055879629488,0.4580361015301163
Purely Runes 〔SP Maryther 7keys〕,3d06b6088fa391ebb6de7a20f4dc56a3,st3,4.482793212302052,1.4491349269393197,2.136967087466418
Purely Recollection [DRIZZLE],e329fe1c2528528e120bfed4e3ddfd7f,sl8,2.3170575479947364,-0.7741632668840722,-0.12895138027610503
Pure White † Crimson Coffin -Raganrok-,b0d5be4893a101f226f7a311e1b623d1,st7,5.132864134477041,2.3085592889130027,2.9964925335980417
Pure White † Crimson Coffin -Luna-,b142278d297ff2a5988b4e33687a24ab,sl11,3.546292875979774,0.27559945236533007,0.9087861746486903
Pure White † Crimson Coffin -Genocide-,6f7efa0cc8600ea75ebef16b89e39bd2,st3,5.301810044457615,1.7045918488599854,2.260968930381458
Pure Ruby [名なしの森],7ccf30a1ced5601c4a9cdb06beaf39a9,st1,3.927131054565764,0.7579673570677645,1.439057015609548
Pure Ruby [for butanic],0b7a9e138a2eff6163158707154783c9,★★6,3.875923675145559,3.416603991748649,3.7037871361850696
Pure Ruby [Another+],db91d03800a7a171fe8d33300fefbe2e,★12,3.562607584033289,-0.41004341180289167,0.050711359968341814
Pure Ruby -JUNK7-,d1877ad5dc0134b27eb0238da5721eed,★4,2.8481344736033765,-2.200722510031947,-1.2683065147976222
Pure Caprice [Turn on the RADIO],759e17522789c44e3fbc7da145f479a3,st4,4.321389430260601,1.6061528379288756,2.1614342218213016
PuppyMill (Another),b352417fb670cec510e79004c575ef6e,★8,2.9629974238669896,-0.993444593865571,-0.6654615380681838
Pumpkin ◇ Magic [ZOI],739168d15704d3e8166ac9347e959b84,sl3,2.601241336418495,-1.9729953426907842,-0.6984668986592585
